instance,sha256,n,solver,arithmetic,known,status,minimum,median_seconds,detail
datasets\varied\coverage_30x40.sfm,01af0695b61babf80d1cda6ce1788988e4a00ebbf16f1176f12181e49ae6fdf6,30,orlin_double,IEEE 754 binary64,-201,PASS_KNOWN,-201,0.001626,
datasets\varied\coverage_30x40.sfm,01af0695b61babf80d1cda6ce1788988e4a00ebbf16f1176f12181e49ae6fdf6,30,julia,Float64,-201,PASS_KNOWN,-201,0.0037033,
datasets\varied\coverage_30x40.sfm,01af0695b61babf80d1cda6ce1788988e4a00ebbf16f1176f12181e49ae6fdf6,30,matlab,Float64,-201,PASS_KNOWN,-201,0.0121872,
datasets\varied\coverage_60x80.sfm,cd37f0567a8ca42dad00c8cc6972fedaee9cf481c65b8bb3129b075d4e7a7735,60,orlin,Boost cpp_rational,-832,PASS_KNOWN,-832,0.0108472,
datasets\varied\coverage_60x80.sfm,cd37f0567a8ca42dad00c8cc6972fedaee9cf481c65b8bb3129b075d4e7a7735,60,orlin_double,IEEE 754 binary64,-832,PASS_KNOWN,-832,0.0079102,
datasets\varied\coverage_60x80.sfm,cd37f0567a8ca42dad00c8cc6972fedaee9cf481c65b8bb3129b075d4e7a7735,60,julia,Float64,-832,PASS_KNOWN,-832,0.0089792,
datasets\varied\coverage_60x80.sfm,cd37f0567a8ca42dad00c8cc6972fedaee9cf481c65b8bb3129b075d4e7a7735,60,matlab,Float64,-832,PASS_KNOWN,-832,0.0251605,
datasets\varied\cut_dense_n120.sfm,313675b35dae0fa0a57a8b678abc4d58d228ea3bc9d452c1049047794cb28154,120,orlin,Boost cpp_rational,-6048,PASS_KNOWN,-6048,0.1276625,
datasets\varied\cut_dense_n120.sfm,313675b35dae0fa0a57a8b678abc4d58d228ea3bc9d452c1049047794cb28154,120,orlin_double,IEEE 754 binary64,-6048,PASS_KNOWN,-6048,0.1230657,
datasets\varied\cut_dense_n120.sfm,313675b35dae0fa0a57a8b678abc4d58d228ea3bc9d452c1049047794cb28154,120,julia,Float64,-6048,PASS_KNOWN,-6048,4.1555695,
datasets\varied\cut_dense_n120.sfm,313675b35dae0fa0a57a8b678abc4d58d228ea3bc9d452c1049047794cb28154,120,matlab,Float64,-6048,PASS_KNOWN,-6048,0.0157443,
datasets\varied\cut_dense_n50.sfm,429b4e51653c16cb02b9a750a2980708df71914a1275bf99e115776dade63cd1,50,orlin,Boost cpp_rational,-1625,PASS_KNOWN,-1625,0.0089996,
datasets\varied\cut_dense_n50.sfm,429b4e51653c16cb02b9a750a2980708df71914a1275bf99e115776dade63cd1,50,orlin_double,IEEE 754 binary64,-1625,PASS_KNOWN,-1625,0.0073118,
datasets\varied\cut_dense_n50.sfm,429b4e51653c16cb02b9a750a2980708df71914a1275bf99e115776dade63cd1,50,julia,Float64,-1625,PASS_KNOWN,-1625,0.0619092,
datasets\varied\cut_dense_n50.sfm,429b4e51653c16cb02b9a750a2980708df71914a1275bf99e115776dade63cd1,50,matlab,Float64,-1625,PASS_KNOWN,-1625,0.0062368,
datasets\varied\cut_dense_n80.sfm,b0e1827742fe25a5aa535d07b683cc2834d4240733c33e98d4936c0959145204,80,orlin,Boost cpp_rational,-3421,PASS_KNOWN,-3421,0.0362392,
datasets\varied\cut_dense_n80.sfm,b0e1827742fe25a5aa535d07b683cc2834d4240733c33e98d4936c0959145204,80,orlin_double,IEEE 754 binary64,-3421,PASS_KNOWN,-3421,0.0316313,
datasets\varied\cut_dense_n80.sfm,b0e1827742fe25a5aa535d07b683cc2834d4240733c33e98d4936c0959145204,80,julia,Float64,-3421,PASS_KNOWN,-3421,0.3919166,
datasets\varied\cut_dense_n80.sfm,b0e1827742fe25a5aa535d07b683cc2834d4240733c33e98d4936c0959145204,80,matlab,Float64,-3421,PASS_KNOWN,-3421,0.0060639,
datasets\varied\cut_sparse_n12.sfm,1f499c3e902c74a2c230d7351abac6f8eb9e007b634dace9e3704d7a40cc268a,12,orlin,Boost cpp_rational,-58,PASS_KNOWN,-58,0.0003226,
datasets\varied\cut_sparse_n12.sfm,1f499c3e902c74a2c230d7351abac6f8eb9e007b634dace9e3704d7a40cc268a,12,orlin_double,IEEE 754 binary64,-58,PASS_KNOWN,-58,0.000176,
datasets\varied\cut_sparse_n12.sfm,1f499c3e902c74a2c230d7351abac6f8eb9e007b634dace9e3704d7a40cc268a,12,julia,Float64,-58,PASS_KNOWN,-58,0.0001251,
datasets\varied\cut_sparse_n12.sfm,1f499c3e902c74a2c230d7351abac6f8eb9e007b634dace9e3704d7a40cc268a,12,matlab,Float64,-58,PASS_KNOWN,-58,0.0047781,
datasets\varied\cut_sparse_n24.sfm,e1f16064a8497029f5f8356cc7e3720da0f538cec22e6b848cd7bdeaa382f54c,24,orlin,Boost cpp_rational,-101,PASS_KNOWN,-101,0.0011327,
datasets\varied\cut_sparse_n24.sfm,e1f16064a8497029f5f8356cc7e3720da0f538cec22e6b848cd7bdeaa382f54c,24,orlin_double,IEEE 754 binary64,-101,PASS_KNOWN,-101,0.000728,
datasets\varied\cut_sparse_n24.sfm,e1f16064a8497029f5f8356cc7e3720da0f538cec22e6b848cd7bdeaa382f54c,24,julia,Float64,-101,PASS_KNOWN,-101,0.0014146,
datasets\varied\cut_sparse_n24.sfm,e1f16064a8497029f5f8356cc7e3720da0f538cec22e6b848cd7bdeaa382f54c,24,matlab,Float64,-101,PASS_KNOWN,-101,0.0040683,
datasets\varied\cut_sparse_n30.sfm,666aa7a3cd2b15482c5332759cdc6f6a321ad2a5cd58196f18f510eea43f3c1d,30,orlin,Boost cpp_rational,-72,PASS_KNOWN,-72,0.0017256,
datasets\varied\cut_sparse_n30.sfm,666aa7a3cd2b15482c5332759cdc6f6a321ad2a5cd58196f18f510eea43f3c1d,30,orlin_double,IEEE 754 binary64,-72,PASS_KNOWN,-72,0.0010213,
datasets\varied\cut_sparse_n30.sfm,666aa7a3cd2b15482c5332759cdc6f6a321ad2a5cd58196f18f510eea43f3c1d,30,julia,Float64,-72,PASS_KNOWN,-72,0.0009607,
datasets\varied\cut_sparse_n30.sfm,666aa7a3cd2b15482c5332759cdc6f6a321ad2a5cd58196f18f510eea43f3c1d,30,matlab,Float64,-72,PASS_KNOWN,-72,0.0031853,
datasets\varied\facility_15x25.sfm,3a4604c5f9b7fe197755539fbb4ba7de88b57d707e1b59f4e613e8b4c9ef2cbe,15,orlin,Boost cpp_rational,-451,PASS_KNOWN,-451,0.0011742,
datasets\varied\facility_15x25.sfm,3a4604c5f9b7fe197755539fbb4ba7de88b57d707e1b59f4e613e8b4c9ef2cbe,15,orlin_double,IEEE 754 binary64,-451,PASS_KNOWN,-451,0.0009488,
datasets\varied\facility_15x25.sfm,3a4604c5f9b7fe197755539fbb4ba7de88b57d707e1b59f4e613e8b4c9ef2cbe,15,julia,Float64,-451,PASS_KNOWN,-451,0.0023403,
datasets\varied\facility_15x25.sfm,3a4604c5f9b7fe197755539fbb4ba7de88b57d707e1b59f4e613e8b4c9ef2cbe,15,matlab,Float64,-451,PASS_KNOWN,-451,0.0188023,
datasets\varied\facility_25x40.sfm,f1902725bba66fba8732a8cd3673b4881b2f3df3fbefaed1cbca7ba26ac3468a,25,orlin,Boost cpp_rational,-1466,PASS_KNOWN,-1466,0.0065614,
datasets\varied\facility_25x40.sfm,f1902725bba66fba8732a8cd3673b4881b2f3df3fbefaed1cbca7ba26ac3468a,25,orlin_double,IEEE 754 binary64,-1466,PASS_KNOWN,-1466,0.0061174,
datasets\varied\facility_25x40.sfm,f1902725bba66fba8732a8cd3673b4881b2f3df3fbefaed1cbca7ba26ac3468a,25,julia,Float64,-1466,PASS_KNOWN,-1466,0.012772,
datasets\varied\facility_25x40.sfm,f1902725bba66fba8732a8cd3673b4881b2f3df3fbefaed1cbca7ba26ac3468a,25,matlab,Float64,-1466,PASS_KNOWN,-1466,0.0427952,
datasets\varied\facility_4x6.sfm,0ad0abefe1da24a411a3df2d844ecea8205edb5ddd340a38f6fffdcdc04d9365,4,orlin,Boost cpp_rational,-1,PASS_KNOWN,-1,6.65e-05,
datasets\varied\facility_4x6.sfm,0ad0abefe1da24a411a3df2d844ecea8205edb5ddd340a38f6fffdcdc04d9365,4,orlin_double,IEEE 754 binary64,-1,PASS_KNOWN,-1,4.07e-05,
datasets\varied\facility_4x6.sfm,0ad0abefe1da24a411a3df2d844ecea8205edb5ddd340a38f6fffdcdc04d9365,4,julia,Float64,-1,PASS_KNOWN,-1,9.45e-05,
datasets\varied\facility_4x6.sfm,0ad0abefe1da24a411a3df2d844ecea8205edb5ddd340a38f6fffdcdc04d9365,4,matlab,Float64,-1,PASS_KNOWN,-1,0.0050371,
datasets\varied\facility_8x12.sfm,6777e36e8501cd10a3b37d8083d92cf57bd5b26b8d04a144515d2442848ffb51,8,orlin,Boost cpp_rational,-43,PASS_KNOWN,-43,0.000245,
datasets\varied\facility_8x12.sfm,6777e36e8501cd10a3b37d8083d92cf57bd5b26b8d04a144515d2442848ffb51,8,orlin_double,IEEE 754 binary64,-43,PASS_KNOWN,-43,0.0001617,
datasets\varied\facility_8x12.sfm,6777e36e8501cd10a3b37d8083d92cf57bd5b26b8d04a144515d2442848ffb51,8,julia,Float64,-43,PASS_KNOWN,-43,0.0001321,
datasets\varied\facility_8x12.sfm,6777e36e8501cd10a3b37d8083d92cf57bd5b26b8d04a144515d2442848ffb51,8,matlab,Float64,-43,PASS_KNOWN,-43,0.0072057,
datasets\varied\matching_15x15.sfm,120d9d0d3cf98bfe6ffca5a52dc0be0848b82c0d18754b5d6ca979bf805c9a36,15,orlin,Boost cpp_rational,-7,PASS_KNOWN,-7,0.0005494,
datasets\varied\matching_15x15.sfm,120d9d0d3cf98bfe6ffca5a52dc0be0848b82c0d18754b5d6ca979bf805c9a36,15,orlin_double,IEEE 754 binary64,-7,PASS_KNOWN,-7,0.0003123,
datasets\varied\matching_15x15.sfm,120d9d0d3cf98bfe6ffca5a52dc0be0848b82c0d18754b5d6ca979bf805c9a36,15,julia,Float64,-7,PASS_KNOWN,-7,0.0002646,
datasets\varied\matching_3x3.sfm,1e42c7f2d392ae57b35298c955a05f2ca4dd86b70fd8bd6894f5fd0c72845aaf,3,julia,Float64,-1,PASS_KNOWN,-1,9.28e-05,
datasets\varied\matching_8x8.sfm,0889f245c31e05043b1ea1fdc205672a5b699a45fea8f39c0dd6b29d230e3f25,8,julia,Float64,-4,PASS_KNOWN,-4,0.0001222,
datasets\varied\matching_15x15.sfm,120d9d0d3cf98bfe6ffca5a52dc0be0848b82c0d18754b5d6ca979bf805c9a36,15,matlab,Float64,-7,PASS_KNOWN,-7,0.0088913,
datasets\varied\matching_3x3.sfm,1e42c7f2d392ae57b35298c955a05f2ca4dd86b70fd8bd6894f5fd0c72845aaf,3,orlin,Boost cpp_rational,-1,PASS_KNOWN,-1,7.22e-05,
datasets\varied\matching_3x3.sfm,1e42c7f2d392ae57b35298c955a05f2ca4dd86b70fd8bd6894f5fd0c72845aaf,3,orlin_double,IEEE 754 binary64,-1,PASS_KNOWN,-1,2.53e-05,
datasets\varied\matching_3x3.sfm,1e42c7f2d392ae57b35298c955a05f2ca4dd86b70fd8bd6894f5fd0c72845aaf,3,matlab,Float64,-1,PASS_KNOWN,-1,0.0043872,
datasets\varied\matching_8x8.sfm,0889f245c31e05043b1ea1fdc205672a5b699a45fea8f39c0dd6b29d230e3f25,8,orlin,Boost cpp_rational,-4,PASS_KNOWN,-4,0.0001643,
datasets\varied\matching_8x8.sfm,0889f245c31e05043b1ea1fdc205672a5b699a45fea8f39c0dd6b29d230e3f25,8,orlin_double,IEEE 754 binary64,-4,PASS_KNOWN,-4,9.39e-05,
datasets\varied\matching_8x8.sfm,0889f245c31e05043b1ea1fdc205672a5b699a45fea8f39c0dd6b29d230e3f25,8,matlab,Float64,-4,PASS_KNOWN,-4,0.0047581,
datasets\varied\special_complete_n6.sfm,bca1f4d36e1a3711d2579ba4fdf68e9c63e5966d7ee8338e4418e25ce0581052,6,orlin,Boost cpp_rational,-14,PASS_KNOWN,-14,0.0001986,
datasets\varied\special_complete_n6.sfm,bca1f4d36e1a3711d2579ba4fdf68e9c63e5966d7ee8338e4418e25ce0581052,6,orlin_double,IEEE 754 binary64,-14,PASS_KNOWN,-14,0.0001228,
datasets\varied\special_complete_n6.sfm,bca1f4d36e1a3711d2579ba4fdf68e9c63e5966d7ee8338e4418e25ce0581052,6,julia,Float64,-14,PASS_KNOWN,-14,9.28e-05,
datasets\varied\special_complete_n6.sfm,bca1f4d36e1a3711d2579ba4fdf68e9c63e5966d7ee8338e4418e25ce0581052,6,matlab,Float64,-14,PASS_KNOWN,-14,0.0048373,
datasets\varied\special_path_n10.sfm,230f83bcadf812ed5225516324eb22c28b2f006753f06c00bd2ecb197068a427,10,orlin,Boost cpp_rational,-36,PASS_KNOWN,-36,0.0002274,
datasets\varied\special_path_n10.sfm,230f83bcadf812ed5225516324eb22c28b2f006753f06c00bd2ecb197068a427,10,orlin_double,IEEE 754 binary64,-36,PASS_KNOWN,-36,0.0001182,
datasets\varied\special_path_n10.sfm,230f83bcadf812ed5225516324eb22c28b2f006753f06c00bd2ecb197068a427,10,julia,Float64,-36,PASS_KNOWN,-36,0.0002648,
datasets\varied\special_path_n10.sfm,230f83bcadf812ed5225516324eb22c28b2f006753f06c00bd2ecb197068a427,10,matlab,Float64,-36,PASS_KNOWN,-36,0.0052716,
datasets\varied\special_star_n8.sfm,56a212c4d66a168454aae6f4979681ef6b0c486f3d7b8617ff05675e45a148ec,8,orlin,Boost cpp_rational,-33,PASS_KNOWN,-33,0.0001692,
datasets\varied\special_star_n8.sfm,56a212c4d66a168454aae6f4979681ef6b0c486f3d7b8617ff05675e45a148ec,8,orlin_double,IEEE 754 binary64,-33,PASS_KNOWN,-33,8.98e-05,
datasets\varied\special_star_n8.sfm,56a212c4d66a168454aae6f4979681ef6b0c486f3d7b8617ff05675e45a148ec,8,julia,Float64,-33,PASS_KNOWN,-33,8.4e-05,
datasets\varied\special_star_n8.sfm,56a212c4d66a168454aae6f4979681ef6b0c486f3d7b8617ff05675e45a148ec,8,matlab,Float64,-33,PASS_KNOWN,-33,0.0037183,
